idx,report_id_a,report_id_b,cosine_sim,summary_a,summary_b,label
62,30,61,0.8154,习近平6月4日在中南海会见白俄罗斯总统卢卡申科，祝贺其连任。双方强调真诚互信，推动合作发展，加强多边协调，反对霸权。卢卡申科第15次访华，感谢中方支持，愿共同维护国际公平正义。王毅参加会见。,丁薛祥3日在北京会见上合组织成员国财长和央行行长会议外方代表。他表示，中方愿以今年上合组织“中国年”为契机，加强财金合作，扩大本币结算，发展数字普惠金融，筹建上合开发银行。上合秘书长叶尔梅克巴耶夫赞赏中国主席国工作，愿共同促进地区繁荣。,
63,61,76,0.973,丁薛祥3日在北京会见上合组织成员国财长和央行行长会议外方代表。他表示，中方愿以今年上合组织“中国年”为契机，加强财金合作，扩大本币结算，发展数字普惠金融，筹建上合开发银行。上合秘书长叶尔梅克巴耶夫赞赏中国主席国工作，愿共同促进地区繁荣。,丁薛祥在北京会见上海合作组织成员国财长和央行行长会议外方代表。他引用习近平在阿斯塔纳峰会的建议，强调今年是上合组织“中国年”，中方愿推动财金合作，扩大本币结算，发展数字普惠金融，筹建上合组织开发银行。上合组织秘书长叶尔梅克巴耶夫赞赏中国主席国工作，愿共同秉持“上海精神”促进地区繁荣。,
64,23,39,0.9887,上海“阿大葱油饼”老店新开后，因油烟和排队拥堵被投诉。石门二路街道综合网格牵头多部门，通过改造排烟管道、疏导秩序，一周内解决问题。该案例体现了上海“多格合一”网格治理模式，整合力量高效处理跨领域难题。,上海“阿大葱油饼”老店新开后，因油烟和排队拥堵被投诉。石门二路街道综合网格通过党建联席会议，协调多部门联合整改：改造排烟管道、疏导秩序，一周内解决问题。该案例体现了上海“多格合一”网格治理模式，整合基层力量高效解决跨部门难题。,
65,21,22,0.8101,北京市司法局、市场监管局和总工会6月3日联合发布14项措施，形成政策、法律和维权三位一体框架，保障新就业群体权益。司法局提供法律咨询、律师等服务，设立“城市蜂鸟”项目援助网约配送员；市场监管局治理平台算法问题；总工会保障职工权益并开展专项教育。,2025北京入境旅游发展大会近日举办，发布优化入境服务方案，推出十大主题线路。方案含22项举措，涉及产品、服务等，提升中轴影响力、简化通关退税。今年前4月入境游客146万人次，同比增57.1%。,
66,112,124,0.7977,7月5日晚，2026年福建闽超首场两岸友谊赛在厦门举行，厦门队与金门队对决，超过2万名观众观赛，最终厦门队5比2获胜。,2026年温网7月5日在伦敦继续，王欣瑜与谢淑薇这对两岸组合打入女双16强。女单头号种子萨巴伦卡意外落败，未能晋级八强。,
67,44,66,0.8763,习近平6月4日在北京中南海会见白俄罗斯总统卢卡申科，祝贺其连任。双方强调中白是真朋友、好伙伴，政治互信牢固，合作全面。中方愿推动关系长远发展，加强多边协调，反对霸权。卢卡申科第15次访华，感谢中方支持，承诺深化对华合作，共同维护国际公平正义。王毅参加会见。,王毅会见美国新任驻华大使庞德伟，希望其发挥沟通、调解、促进作用。王毅指出中美关系处于关键节点，平等尊重和对话合作是正确选择，批评美方近期采取消极举措损害中方权益，要求美方落实元首共识。庞德伟表示愿与中方密切沟通。,
68,34,35,0.8109,河北县域特色产业通过创新驱动和绿色转型实现升级。平乡县自行车产业依托研究院和共享平台降低成本；宽城通过皮带廊密闭运输减少排放；武安钢铁企业环保改造后效益提升。2024年，107个重点产业集群营收3.6万亿元，同比增长9.3%，带动大量就业。,山东水利技师学院等场景展示新能源汽车发展。长安汽车数智工厂每60秒下线一辆车。人大代表建议推动充电桩建设，截至2024年底全国充电桩达1281.8万台。维修难问题通过职业培训等解决。辅助驾驶技术发展，道路交通安全法修订被列入审议议程。,
69,57,71,0.9215,国务院总理李强签署《政务数据共享条例》，2025年8月1日施行。条例共8章44条，旨在安全高效共享政务数据，提升数字政府能力。内容包括统一目录管理、禁止重复收集、明确共享流程、构建全国一体化平台、强化安全责任与经费保障。,中国发布政务数据共享条例，规定政府部门间数据共享需遵循安全、依法原则，按无条件、有条件、不予共享三类管理。数据目录动态更新，共享申请审核时限为1至10个工作日。条例明确安全责任、争议解决机制，禁止擅自扩大使用范围，违规将受处分。2025年8月1日起施行。,
70,86,93,0.811,住建部等三部门发布2024年公积金年报：全年缴存额超3.63万亿元，8127万人提取约2.77万亿元，发放贷款230万笔、1.3万亿元。实缴单位529万个，人数1.76亿，均增长。租房提取人数2257万、金额2720亿元，分别增22%和34%；6.5万人提取20亿元用于加装电梯等改造。,安徽六安两名社区干部李某某、张某某擅自篡改社保缴费基数，将工资从3000余元改为7190元，缴费比例从60%提至100%，导致单位多缴社保款共7.7万余元。2024年5月巡察发现后移交纪委，二人被开除党籍。,
71,7,32,0.8057,中央军委主席习近平签署命令，发布《军事设施建设条例》，2025年8月1日起施行。条例共11章63条，规范军事设施建设原则、体制、机制，聚焦备战打仗，理顺管理权限和流程，为提升建设质量效益提供法治保障。,司法部与国家档案局联合发布新修订的《公证档案管理办法》，自2025年6月20日施行。办法推进公证电子档案信息化，明确电子档案与传统档案效力等同，缩短保管期限为永久、30年、10年，并规范档案销毁条件。,
72,24,28,0.8218,海关与地方政府合作，通过简化流程、提高效率、降低成本等措施优化口岸营商环境，降低企业运营成本、加快货物流转。优化是持续过程，需提升政策质量以推动高效、透明、公平、便利的口岸环境，助力贸易强国建设。,习近平总书记强调推动高质量发展与高水平开放。上海洋山港自秘鲁钱凯港直达的牛油果快速通关，中越国际道路运输线路开通。制度型开放深化，市场准入负面清单缩减至106项，服务业开放扩大。中国—东盟自贸区3.0版谈判完成，与9国签署“一带一路”合作规划。1—4月新设外资企业增长12.1%，累计投资近3万亿美元。,
73,51,100,0.9026,国家政务服务平台上线六周年，推动“高效办成一件事”改革。多地通过数字赋能、集成服务，实现线下“只进一门”、线上“一网通办”、诉求“一线应答”。黑龙江将办理时限从30天压减至即办，河南安阳精简材料30余项。改革聚焦提升效能、强化数字应用，解决办事难、慢、繁问题。,银川市在已有线下窗口基础上，新推出“办不成事”掌上反映窗口，通过数字化手段将难办民生诉求纳入服务，推动政务服务从“能办”向“智办”升级，体现标准化与人性化结合的探索。,
74,67,80,0.8777,2023年6月2日，习近平在文化传承发展座谈会上提出中华文明五个突出特性：连续性、创新性、统一性、包容性、和平性。文章指出中华文明在继承创新中发展，积淀民族精神追求，并计划通过习近平近两年的文化足迹，感悟文明特性，增强文化自信。,习近平总书记多次考察文化遗产，强调保护传承中华文明。他提及龙门石窟、何尊、良渚、殷墟甲骨、三星堆、大运河、平遥古城等，指出这些是民族自信之源。要求加强考古研究，运用科技保护文物，弘扬优秀传统文化，增强民族自豪感，让文明瑰宝永续留存。,
75,30,123,0.8114,习近平6月4日在中南海会见白俄罗斯总统卢卡申科，祝贺其连任。双方强调真诚互信，推动合作发展，加强多边协调，反对霸权。卢卡申科第15次访华，感谢中方支持，愿共同维护国际公平正义。王毅参加会见。,中共中央政治局委员、外交部长王毅于7月5日在赫尔辛基与芬兰外长瓦尔托宁进行了会谈。,
76,65,92,0.7705,侗族大歌因动画电影《哪吒之魔童闹海》走红。贵州通过立法保护传统村落、创新非遗表达（如水族马尾绣登上巴黎时装周）、融合文体旅业态（如肇兴侗寨游客增长），推动少数民族文化创造性转化与发展。,湖南永州回龙圩管理区兴隆村，村民曾因柑橘致富但环境脏乱。2021年村民自发修缮古门楼后，管理区推行“党小组+”模式，组织群众整治“六小园”乱象。通过夜话协商、政府奖补和村民捐款，村庄环境改善。党小组还牵头引进柑橘新技术，培训电商主播，推动产业升级。,
77,24,51,0.8152,海关与地方政府合作，通过简化流程、提高效率、降低成本等措施优化口岸营商环境，降低企业运营成本、加快货物流转。优化是持续过程，需提升政策质量以推动高效、透明、公平、便利的口岸环境，助力贸易强国建设。,国家政务服务平台上线六周年，推动“高效办成一件事”改革。多地通过数字赋能、集成服务，实现线下“只进一门”、线上“一网通办”、诉求“一线应答”。黑龙江将办理时限从30天压减至即办，河南安阳精简材料30余项。改革聚焦提升效能、强化数字应用，解决办事难、慢、繁问题。,
78,5,14,0.8138,国家副主席韩正6月5日在北京会见了中美高级别二轨对话美方代表团。韩正指出，中美关系处于关键节点，双方应相互尊重、和平共处、合作共赢，这有利于两国和世界。他希望对话能汇聚智慧，增进美国对华了解，推动中美关系稳定发展。美方表示，对话有助于相互理解，为两国关系提供思路，并称赞中国经济发展，呼吁加强贸易投资合作。,国家副主席韩正应邀请，将于6月7日至13日前往法国尼斯参加联合国海洋大会，并随后对西班牙进行访问。,
79,22,26,0.8064,2025北京入境旅游发展大会近日举办，发布优化入境服务方案，推出十大主题线路。方案含22项举措，涉及产品、服务等，提升中轴影响力、简化通关退税。今年前4月入境游客146万人次，同比增57.1%。,今年，银发旅游受关注。银发旅游列车提供一价全包、慢游服务，并配备医疗支持。台儿庄古城推出智慧导览和安防系统，方便老年游客。云南旅居产品注重适老化设施和个性化服务，满足老年人安全、舒适、慢节奏的旅行需求。,
80,23,54,0.816,上海“阿大葱油饼”老店新开后，因油烟和排队拥堵被投诉。石门二路街道综合网格牵头多部门，通过改造排烟管道、疏导秩序，一周内解决问题。该案例体现了上海“多格合一”网格治理模式，整合力量高效处理跨领域难题。,南通市在贯彻中央八项规定精神学习教育中，针对社区治理问题，建立“社区合伙人”机制，整合五类力量形成闭环治理。通过党员干部下沉、清单化管理，已解决电梯改造等2600余件民生实事，联系服务群众12万余次。,
81,25,81,0.7569,老年人旅游方式增多，推动产业升级。需开发适老线路产品，改造公共场所设施。同时，老年人易遇消费陷阱和健康问题，应加强旅游广告审查，规范服务标准，打击强买强卖等行为。,多地地铁公司不提倡“左行右立”，因自动扶梯上行走易摔倒，且长期单侧站立致设备磨损不均、增加安全隐患。地铁扶梯速度较快，并排站立可提高载客效率。北京、上海等地通过提示、宣传片等引导乘客站稳扶好，禁止在扶梯上行走或奔跑。,
82,23,87,0.8158,上海“阿大葱油饼”老店新开后，因油烟和排队拥堵被投诉。石门二路街道综合网格牵头多部门，通过改造排烟管道、疏导秩序，一周内解决问题。该案例体现了上海“多格合一”网格治理模式，整合力量高效处理跨领域难题。,北京西城区三里河二区社区通过居民议事厅收集诉求，党员干部记录并推动解决。湖南汝城县五一村召开“屋场会”讨论修路，干部现场解答补偿问题。重庆两江新区设政务惠企E站，专员主动上门服务企业。上海复兴东路隧道根据市民建议改造，夜间开放非机动车道。各地党员干部深入基层，落实中央八项规定精神，提升服务效能。,
83,1,40,0.896,习近平总书记强调，生态环境既是重大政治问题，也是重大社会问题。他要求从中华民族永续发展的高度出发，尊重、顺应和保护自然，推动人与自然和谐共生的现代化，建设美丽中国。6月5日是世界环境日，呼吁像保护眼睛一样保护自然和生态环境。,习近平强调生态环境工作的重要性，指出其在多地任职期间均被列为重点。新时代以来，“两山”理念深入人心，推动美丽中国建设取得重大进展，生态环境发生历史性转变。国际社会认为，中国绿色发展成就源于习近平生态文明思想，中国正成为全球可持续发展的典范。,
84,112,113,0.7649,7月5日晚，2026年福建闽超首场两岸友谊赛在厦门举行，厦门队与金门队对决，超过2万名观众观赛，最终厦门队5比2获胜。,2026年7月5日，银川国际青年足球锦标赛在贺兰山体育场开幕，中国、澳大利亚、坦桑尼亚和尼日利亚四支U17队伍将在三天内进行六场比赛。首日比赛中，中国U17男足以3比0击败澳大利亚队，赢得首胜。,
85,53,108,0.8065,海南省政府印发措施，规范涉企行政检查，明确频次和标准，解决多头、随意检查问题。7月1日起施行，共22条，要求无依据不检查，信用最高企业年检不超一次，推行综合查一次，减少重复和现场检查。,国务院安委会办公室与多部门联合印发通知，要求各地结合安全生产治本攻坚三年行动，重点在矿山、化工、消防、工贸等行业领域开展“打非治违”工作。,
86,14,107,0.749,国家副主席韩正应邀请，将于6月7日至13日前往法国尼斯参加联合国海洋大会，并随后对西班牙进行访问。,2026上海夏季音乐节于7月5日晚在上海交响音乐厅开幕，开幕演出为音乐与戏剧文学作品《哈姆雷特》。,
87,11,29,0.8327,2020年3月31日，习近平考察杭州西溪湿地，鼓励传承非遗。西湖龙井茶省级传承人樊生华13岁学炒茶，创新融合“十大手法”与太极拳，提升茶品质。他通过联名产品、直播等推广茶文化，希望让全球消费者喜爱中国茶。,杭州西溪湿地曾因过度开发面临生态危机。2003年，在习近平倡导下启动综合保护工程，通过引水、截污、清淤等措施恢复生态。2020年习近平考察时强调保护优先，保持湿地自然生态。如今湿地重现生机，实现人与自然和谐共生。,
88,3,75,0.8351,2003年6月5日，习近平在浙江启动“千万工程”，重点整治农村人居环境。当时浙江仅4000个村庄环境较好。习近平早年就关注环境问题，从陕北改厕到上海推行垃圾处理。该工程使义乌李祖村人均收入从不足5000元增至6万余元。如今“千万工程”成为乡村振兴关键，党的二十大将改善人居环境列为主要目标。,习近平总书记强调以更高站位推进生态文明建设。各地践行绿水青山理念，端午期间木兰溪、三亚河等治理河道展现生态美。今年，江苏推进太湖水质提升，湖北治理湖泊，黑龙江造林90万亩，河北塞罕坝森林覆盖率将达84%，内蒙古治沙2000万亩，宁夏固沙锁边工程长153公里。,
89,44,76,0.818,习近平6月4日在北京中南海会见白俄罗斯总统卢卡申科，祝贺其连任。双方强调中白是真朋友、好伙伴，政治互信牢固，合作全面。中方愿推动关系长远发展，加强多边协调，反对霸权。卢卡申科第15次访华，感谢中方支持，承诺深化对华合作，共同维护国际公平正义。王毅参加会见。,丁薛祥在北京会见上海合作组织成员国财长和央行行长会议外方代表。他引用习近平在阿斯塔纳峰会的建议，强调今年是上合组织“中国年”，中方愿推动财金合作，扩大本币结算，发展数字普惠金融，筹建上合组织开发银行。上合组织秘书长叶尔梅克巴耶夫赞赏中国主席国工作，愿共同秉持“上海精神”促进地区繁荣。,
90,31,43,0.9867,国家主席习近平6月4日致电李在明，祝贺其当选韩国总统。习近平表示，中韩建交33年来，双方克服差异，实现关系平稳发展，造福人民并促进地区稳定。他强调重视中韩关系，愿与韩方坚守建交初心，推动战略合作伙伴关系向前发展。,国家主席习近平6月4日致电李在明，祝贺其当选韩国总统。习近平表示，中韩是重要近邻和合作伙伴，建交33年来关系平稳健康发展，造福两国人民并促进地区稳定。他强调，面对国际变局，中方愿与韩方坚守建交初心，深化睦邻友好与互利共赢，推动战略合作伙伴关系向前发展。,
91,42,88,0.8628,习近平总书记高度重视中华文明传承，通过“学习新语”栏目推出系列报道，本期聚焦四川广汉三星堆，从青铜面具切入，探索多元一体的灿烂文明。,中华文明历经五千年，从西周何尊铭文到各朝代文化成就，均留下历史印记。两年前的文化传承座谈会上，习近平总书记强调，继承历史的最佳方式是创造新历史，对人类文明的最大尊重是创造新文明形态。传承文脉、守护文明，回顾过去越深远，未来视野越广阔。,
92,7,70,0.8603,中央军委主席习近平签署命令，发布《军事设施建设条例》，2025年8月1日起施行。条例共11章63条，规范军事设施建设原则、体制、机制，聚焦备战打仗，理顺管理权限和流程，为提升建设质量效益提供法治保障。,国务院发布第809号令，《政务数据共享条例》经2025年5月9日常务会议通过，自同年8月1日起施行。,
93,81,86,0.7513,多地地铁公司不提倡“左行右立”，因自动扶梯上行走易摔倒，且长期单侧站立致设备磨损不均、增加安全隐患。地铁扶梯速度较快，并排站立可提高载客效率。北京、上海等地通过提示、宣传片等引导乘客站稳扶好，禁止在扶梯上行走或奔跑。,住建部等三部门发布2024年公积金年报：全年缴存额超3.63万亿元，8127万人提取约2.77万亿元，发放贷款230万笔、1.3万亿元。实缴单位529万个，人数1.76亿，均增长。租房提取人数2257万、金额2720亿元，分别增22%和34%；6.5万人提取20亿元用于加装电梯等改造。,
94,18,41,0.8319,2025年以来，北京、江西、广西等地推进信用修复机制改革。北京压缩修复时限40%以上，一季度助6万户企业修复信用；江西前5个月为6.8万户办理修复；广西启动年报服务月活动。各地推行“免申即享”“三书同达”等创新举措，通过大数据自动修复、流程优化提升效率。,沈阳推出“公民信息连锁变更一件事”，2024年10月17日上线。居民申请变更姓名等基本信息时，可线下派出所或线上政务服务网一次提交。审批后公安内部跨层级联动，外部与社保、医保、公积金等部门协作，同步更新证件和账户，证照邮寄到家。已办理160余件，减少群众跑动12次。,
95,57,70,0.9042,国务院总理李强签署《政务数据共享条例》，2025年8月1日施行。条例共8章44条，旨在安全高效共享政务数据，提升数字政府能力。内容包括统一目录管理、禁止重复收集、明确共享流程、构建全国一体化平台、强化安全责任与经费保障。,国务院发布第809号令，《政务数据共享条例》经2025年5月9日常务会议通过，自同年8月1日起施行。,
96,18,53,0.8182,2025年以来，北京、江西、广西等地推进信用修复机制改革。北京压缩修复时限40%以上，一季度助6万户企业修复信用；江西前5个月为6.8万户办理修复；广西启动年报服务月活动。各地推行“免申即享”“三书同达”等创新举措，通过大数据自动修复、流程优化提升效率。,海南省政府印发措施，规范涉企行政检查，明确频次和标准，解决多头、随意检查问题。7月1日起施行，共22条，要求无依据不检查，信用最高企业年检不超一次，推行综合查一次，减少重复和现场检查。,
97,14,123,0.7959,国家副主席韩正应邀请，将于6月7日至13日前往法国尼斯参加联合国海洋大会，并随后对西班牙进行访问。,中共中央政治局委员、外交部长王毅于7月5日在赫尔辛基与芬兰外长瓦尔托宁进行了会谈。,
98,2,27,0.8877,习近平考察长江、黄河、祁连山、秦岭、武夷山、塞罕坝等地，强调生态保护与高质量发展。长江实施“共抓大保护，不搞大开发”，黄河治理聚焦“幸福河”目标。生态修复与民生结合，如渔民转产、滩区迁建、林场建设，推动人与自然和谐。,长江源头牧民为保护生态搬迁至格尔木长江源村，成为生态管护员。湖南长江村从捕鱼种芦苇转向油菜花旅游，实现生态致富。江苏长江村关停化工厂，转型食品和船舶循环产业，产值超千亿。三村共护长江，践行“共抓大保护，不搞大开发”。,
99,40,77,0.8507,习近平强调生态环境工作的重要性，指出其在多地任职期间均被列为重点。新时代以来，“两山”理念深入人心，推动美丽中国建设取得重大进展，生态环境发生历史性转变。国际社会认为，中国绿色发展成就源于习近平生态文明思想，中国正成为全球可持续发展的典范。,生态环境部等四部门联合发布指导意见，要求加强生态文化建设，构建以生态价值观念为核心的体系。任务包括研究传承、传播推广和转化利用，具体有10项举措，如理论研究、文艺创作、绿色生活等。强调党的领导，多部门合作，并推动试点和案例宣传。,
100,26,99,0.7796,今年，银发旅游受关注。银发旅游列车提供一价全包、慢游服务，并配备医疗支持。台儿庄古城推出智慧导览和安防系统，方便老年游客。云南旅居产品注重适老化设施和个性化服务，满足老年人安全、舒适、慢节奏的旅行需求。,济南天桥区无影山中路社区为满足老年人助餐需求，经调研沟通，打通党群服务中心空间、募集资金、筛选供应商，建成“乐邻”食堂。运营近一年，服务本社区及周边5个社区和30多家单位。社区还通过青年夜校、延时服务等便民举措，提升居民幸福感。,
